Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
425000	5.3539752	3.1992673	2.4556737	1.4080133	1.1985426	0.8383073	0.6288517	0.0046510	0.0033002	0.0169728	0.0724631	0.1022204	0.1227510	-15.892
430000	5.2551707	3.2687938	2.7061385	1.5964923	1.2462599	0.7342831	0.5595666	0.0048393	0.0027245	0.0175825	0.1264467	0.1909874	0.1106390	-14.598
435000	5.2701537	3.2579450	2.7481521	1.7723848	1.3353919	0.7671877	0.5375832	0.0050822	0.0032717	0.0173429	0.1347340	0.1711015	0.1845785	-19.431
440000	5.0290197	3.2668879	2.6279113	1.5237480	1.1443047	0.8153385	0.6621611	0.0047161	0.0042343	0.0187283	0.0546730	0.2585747	0.1525164	-27.448
445000	5.0766277	3.2400858	2.7000092	1.5212378	1.2935366	0.8367814	0.6306730	0.0048132	0.0034761	0.0217239	0.0752249	0.1898762	0.1533091	-19.029
450000	5.1736551	3.2368569	2.6381487	1.5757787	1.0312942	0.7708602	0.6211248	0.0050374	0.0030500	0.0180493	0.0603828	0.2224946	0.1542961	-19.500
455000	5.0873310	3.2413153	2.4743764	1.5348190	1.0266351	0.6423867	0.4486395	0.0052763	0.0031215	0.0180202	0.0785695	0.0757918	0.0781447	-25.557
460000	5.0541012	3.2762672	2.6662360	1.6221559	1.2355921	0.6984566	0.5078776	0.0042640	0.0033437	0.0172866	0.0740405	0.0644901	0.1080277	-20.957
465000	5.1479442	3.2755566	2.6452832	1.5329375	0.9808080	0.6790516	0.4994422	0.0059721	0.0034937	0.0194986	0.1277884	0.0457602	0.0729883	-20.806
470000	5.0523336	3.2790201	2.7210518	1.4280746	1.1330085	0.7755852	0.6030809	0.0047953	0.0041145	0.0198858	0.0663365	0.1328629	0.1749659	-22.616
475000	5.0103037	3.2633477	2.4978213	1.4430911	1.0359217	0.6883794	0.5211199	0.0055381	0.0033236	0.0182771	0.0491733	0.0615012	0.0454595	-17.984
480000	5.2214717	3.2685270	2.4589318	1.4358010	1.0920698	0.7108308	0.5576868	0.0049674	0.0038390	0.0180713	0.0708447	0.1077786	0.0503948	-29.191
485000	5.0461265	3.1179574	2.5518295	1.4956937	1.1208354	0.7575842	0.5733174	0.0055572	0.0037388	0.0234019	0.0805786	0.0690880	0.0913892	-21.834
490000	5.0277658	3.2547873	2.5739808	1.4310265	1.0654902	0.7138454	0.4698489	0.0049181	0.0034774	0.0206794	0.0360841	0.0843179	0.0537056	-30.700
495000	5.0933780	3.2727965	2.4514616	1.5139176	1.2122774	0.6612401	0.5017299	0.0070526	0.0032616	0.0206109	0.2169978	0.1351328	0.0707554	-26.217
500000	5.1016554	3.2570920	2.5033992	1.5666257	1.2272905	0.7740940	0.5803780	0.0056303	0.0043179	0.0181040	0.1056148	0.1530598	0.0934366	-19.396
505000	5.0973388	3.2054941	2.4001776	1.4016536	1.0787762	0.6607918	0.4746140	0.0050922	0.0033453	0.0202184	0.1057486	0.0824428	0.0405135	-24.198
510000	5.0873858	3.2695052	2.6179053	1.5312260	1.0462458	0.7865699	0.6080961	0.0046854	0.0035195	0.0189854	0.0518842	0.0819627	0.0657976	-16.378
515000	5.1178254	3.2814662	2.6309765	1.5073489	1.1248145	0.7682193	0.5534667	0.0046050	0.0031828	0.0186274	0.1091034	0.0638382	0.1162811	-25.759
520000	5.4945706	3.2071227	2.5602493	1.4644222	1.0282940	0.7355304	0.5570383	0.0047914	0.0034137	0.0175712	0.0745704	0.0534082	0.0945995	-22.045
525000	5.2323861	3.2711621	2.5510750	1.6121071	1.0387406	0.6122931	0.4501360	0.0056952	0.0041734	0.0176041	0.0730293	0.1346315	0.0975852	-13.890
530000	5.0301586	3.1316967	2.3918615	1.4308088	0.9887291	0.7280161	0.5785308	0.0063513	0.0032807	0.0190182	0.1698400	0.1516274	0.1193467	-23.213
535000	5.0631629	3.2500796	2.4872837	1.4375194	1.0990291	0.7793972	0.5778992	0.0051735	0.0036763	0.0192533	0.0840077	0.0682408	0.0966847	-23.977
540000	5.0251286	3.2093293	2.4670793	1.4480956	0.9851153	0.6248310	0.4426426	0.0060759	0.0039857	0.0206020	0.0723715	0.0584174	0.1443858	-25.579
545000	5.0881888	3.2122624	2.5015340	1.4587912	1.1549474	0.8992246	0.6743752	0.0053559	0.0027763	0.0161673	0.1354873	0.1460742	0.0864943	-24.358
550000	5.3665180	3.2297542	2.6005098	1.3904197	0.9678191	0.6573285	0.4829012	0.0050666	0.0035917	0.0178274	0.0594692	0.0611033	0.1050235	-18.952
555000	5.0191160	3.2299559	2.5392961	1.4401432	1.0516545	0.6631380	0.5136325	0.0055890	0.0035215	0.0174414	0.0607064	0.1040501	0.0716879	-28.138
560000	5.0060307	3.2634769	2.6124024	1.4014435	1.0063652	0.6071496	0.4394424	0.0056766	0.0039724	0.0183649	0.0379844	0.1122959	0.0736055	-19.160
565000	5.2664499	3.2047621	2.5406513	1.4606941	1.2147387	0.8525953	0.6674762	0.0049636	0.0030404	0.0204568	0.0681949	0.0465052	0.2489254	-18.789
570000	5.1285390	3.2545972	2.6968759	1.5749234	1.1623987	0.7596977	0.6323052	0.0053101	0.0033808	0.0189081	0.0470301	0.1268264	0.0963887	-18.280
575000	5.0948331	3.2475027	2.4805665	1.4382773	1.1162758	0.6833951	0.4742076	0.0053383	0.0038089	0.0175397	0.0473049	0.1094622	0.0366922	-17.500
580000	5.0227730	3.2450309	2.6155824	1.5062710	0.9462230	0.6714282	0.5127532	0.0054015	0.0036927	0.0181415	0.0465722	0.0343052	0.0570618	-16.661
585000	5.2473050	3.2753277	2.5741419	1.5134604	1.0833533	0.6329478	0.4421687	0.0050925	0.0032080	0.0197508	0.1794939	0.0538916	0.0645244	-20.655
590000	5.0288971	3.2029767	2.5623216	1.4651675	1.0043021	0.5845921	0.4668393	0.0060781	0.0037632	0.0216434	0.1462870	0.0968224	0.0904553	-26.126
595000	5.0404774	3.2634905	2.4965880	1.3958920	1.1110342	0.8229498	0.6472216	0.0048898	0.0031490	0.0162924	0.0999365	0.1515041	0.1007484	-21.744
